Rank,Class,NSmells,LOC,Methods,Selected
1,openjpa-examples/openbooks/src/main/java/openbook/tools/parser/JavaLexer.java,1180,4063,117,
2,openjpa-kernel/src/main/java/org/apache/openjpa/meta/FieldMetaData.java,716,2315,198,
3,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/QueryImpl.java,701,2150,177,
4,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCStoreManager.java,642,1784,121,YES (first+3)
5,openjpa-lib/src/main/java/org/apache/openjpa/lib/jdbc/DelegatingCallableStatement.java,630,1026,205,
6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ReverseMappingTool.java,628,2105,122,
7,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/AnnotationPersistenceMetaDataParser.java,612,2050,85,
8,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/OracleDictionary.java,609,1466,60,
9,openjpa-kernel/src/main/java/org/apache/openjpa/util/ProxyManagerImpl.java,602,1783,79,
10,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/Filters.java,600,1065,63,
11,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCStoreQuery.java,589,1028,25,
12,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingRepository.java,577,1480,94,
13,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/PCPath.java,550,1078,52,
14,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/AnnotationPersistenceMetaDataSerializer.java,532,1412,85,
15,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/EmbedFieldStrategy.java,530,1666,156,
16,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DelegatingBroker.java,515,1482,335,
17,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/criteria/CriteriaBuilderImpl.java,470,862,157,
18,openjpa-lib/src/main/java/org/apache/openjpa/lib/jdbc/DelegatingResultSet.java,470,881,189,
19,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/FieldMapping.java,458,1278,123,
20,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationFieldStrategy.java,450,1037,28,
21,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/XMLPersistenceMetaDataSerializer.java,447,1392,64,
22,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaTool.java,442,1581,48,
23,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/Reflection.java,427,927,91,
24,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/InMemoryExpressionFactory.java,394,797,91,
25,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/RowImpl.java,394,953,33,
26,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/PostgresDictionary.java,386,1026,46,
27,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/FetchConfigurationImpl.java,386,1036,96,
28,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ClassMapping.java,350,1054,77,
29,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceProductDerivation.java,323,921,40,
30,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DB2Dictionary.java,316,1158,40,
31,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/concurrent/ConcurrentHashMap.java,307,867,72,
32,openjpa-kernel/src/main/java/org/apache/openjpa/conf/OpenJPAConfigurationImpl.java,296,1929,282,
33,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCExpressionFactory.java,290,596,90,
34,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/SingleFieldManager.java,289,857,34,
35,openjpa-lib/src/main/java/org/apache/openjpa/lib/jdbc/DelegatingPreparedStatement.java,288,556,104,
36,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DetachManager.java,288,809,37,
37,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Table.java,280,865,86,
38,openjpa-kernel/src/main/java/org/apache/openjpa/util/ApplicationIds.java,266,662,38,
39,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/TableJDBCSeq.java,265,897,46,
40,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/DataCacheStoreManager.java,258,774,20,
41,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/QueryCacheStoreQuery.java,254,695,59,
